Viešbutis,Salė,Plotas (kv. m.),Pobūviams,Konferencijoms,Viet. išdėst. ir sk.,Įranga
EUROPA ROYALE,Konferencijų salė,,Y,Y,Teatro stilius: 50; Klasės stilius: 45; U stilius: 25; Apvalaus stalo stilius: 20; Banketo stilius: 45,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Lazerinė rodyklė, Oro kondicionierius, Popierius, Rašymo lenta, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas"
EUROPA ROYALE,Posėdžių salė,,Y,Y,Teatro stilius: 20; Klasės stilius: 12; U stilius: 10; Apvalaus stalo stilius: 10; Banketo stilius: 15,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Sinchroninis vertimas, Skaidrių projektorius, TV, Tribūna, Video grotuvas"
EUROPA ROYALE DRUSKININKAI,1,,Y,Y,Teatro stilius: 60; Klasės stilius: 40; U stilius: 24,
EUROPA ROYALE DRUSKININKAI,1 + 2,,Y,Y,Teatro stilius: 126; Klasės stilius: 60; U stilius: 32,
EUROPA ROYALE DRUSKININKAI,1+2+3+4,,Y,Y,Teatro stilius: 370; Klasės stilius: 112,
EUROPA ROYALE DRUSKININKAI,2,,Y,Y,Teatro stilius: 30; Klasės stilius: 16; U stilius: 16,
EUROPA ROYALE DRUSKININKAI,3,,Y,Y,Teatro stilius: 126; Klasės stilius: 60; U stilius: 32,
EUROPA ROYALE DRUSKININKAI,4,,Y,Y,Teatro stilius: 126; Klasės stilius: 60; U stilius: 32,
EUROPA ROYALE DRUSKININKAI,5,,Y,Y,Teatro stilius: 54; Klasės stilius: 24; U stilius: 18,
EUROPA ROYALE DRUSKININKAI,6,,Y,Y,Teatro stilius: 54; Klasės stilius: 24; U stilius: 29,
EUROPA ROYALE HOTEL KAUNAS,,,,Y,Klasės stilius: 8,"Ekranas, Multimedia, Įranga garso įrašymui"
EUROPA ROYALE HOTEL KAUNAS,,,,Y,Klasės stilius: 30,"Ekranas, Multimedia, Įranga garso įrašymui"
EUROPA ROYALE HOTEL KAUNAS,,,,Y,Klasės stilius: 30,"Ekranas, Multimedia, Įranga garso įrašymui"
EUROPA ROYALE HOTEL KAUNAS,,,,Y,Klasės stilius: 30,"Ekranas, Multimedia, Įranga garso įrašymui"
EUROPA ROYALE HOTEL KAUNAS,,,,Y,Klasės stilius: 30,"Ekranas, Multimedia, Įranga garso įrašymui"
EUROPA ROYALE HOTEL KAUNAS,,,,Y,Klasės stilius: 200,"Ekranas, Multimedia, Įranga garso įrašymui"
EUROPA ROYALE HOTEL KAUNAS,,,,Y,Klasės stilius: 250,"Ekranas, Multimedia, Įranga garso įrašymui"
EUROPA ROYALE HOTEL KAUNAS,,,,Y,Klasės stilius: 200,"Ekranas, Multimedia, Įranga garso įrašymui"
EUROPA ROYALE MARIJAMPOLĖ,Riga,70,Y,Y,Teatro stilius: 70; Klasės stilius: 40; U stilius: 30; Banketo stilius: 50,
EUROPA ROYALE MARIJAMPOLĖ,Talinn,40,Y,Y,Banketo stilius: 20,
EUROPA ROYALE MARIJAMPOLĖ,Vilnius,185,Y,Y,Teatro stilius: 200; Klasės stilius: 80; U stilius: 100; Banketo stilius: 140,
EUROPA ROYALE MARIJAMPOLĖ,Vilnius I,130,Y,Y,Teatro stilius: 120; Klasės stilius: 60; U stilius: 90; Banketo stilius: 100,
EUROPA ROYALE MARIJAMPOLĖ,Vilnius II,50,Y,Y,Teatro stilius: 60; Klasės stilius: 30; U stilius: 40; Banketo stilius: 40,
EUROPA STAY VILNIUS,I,,,Y,Klasės stilius: 20,
EUROPA STAY VILNIUS,II,,,Y,Klasės stilius: 20,
EUROPA STAY VILNIUS,III,,,Y,Klasės stilius: 30,
EUROPA STAY VILNIUS,IV,,,Y,Klasės stilius: 40,
EUTERPĖ,,,,Y,Teatro stilius: 50; U stilius: 30; Banketo stilius: 30,TV
